GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge-java,com.halconbit.challenge.java.backtracking.powerSets.Duplicates,PowerSetsDuplicate,70,0,6,0,13,0,6,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.splittingAStringIntoDescendingConsecutiveValues,SplittingAStringIntoDescendingConsecutiveValues,84,0,12,0,13,0,9,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.matchsticksToSquare,MatchsticksToSquare,144,0,24,0,26,0,15,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.arrayPermutation.Unique,Unique,66,0,6,0,14,0,6,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.generateParentheses,GenerateParentheses,54,0,6,0,12,0,6,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.arrayPermutation.Duplicate,ArrayDuplicates,125,0,8,0,18,0,7,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.combinations,CombinationsSum_1,69,0,6,0,14,0,6,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.combinations,CombinationsSum_2,86,0,10,0,17,0,8,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.combinations,CombinationsSum_3,75,0,10,0,16,0,8,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.combinations,Combinations,59,0,4,0,12,0,5,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.partitionToKSumSubsets,PartitionToKSumSubsets,140,0,22,0,25,0,14,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.subsetsSum,SubSetsSum,128,0,8,0,28,0,10,0,6,0
challenge-java,com.halconbit.challenge.java.mapobjects.mapstruct,Product,3,0,0,0,1,0,1,0,1,0
challenge-java,com.halconbit.challenge.java.backtracking.restoreIPAddresses,RestoreIPAddresses,106,0,24,0,18,0,16,0,4,0
challenge-java,com.halconbit.challenge.java.backtracking.stringPermutation.NoDuplicates,NoDuplicates,62,0,4,0,14,0,5,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.maxLenOfAConcatenatedStrWithUniqueChar,MaxLenOfAConcatenatedStrWithUniqueChar,90,0,10,0,17,0,9,0,4,0
challenge-java,com.halconbit.challenge.java.backtracking.ratInAMaze,RatInAMaze,121,0,16,0,17,0,11,0,3,0
challenge-java,com.halconbit.challenge.java.backtracking.letterCombinationsOfAPhoneNumber,LetterCombinationsOfAPhoneNumber,110,0,8,0,14,0,6,0,2,0
challenge-java,com.halconbit.challenge.java.backtracking.mColoring,MColoring,80,0,14,0,17,0,11,0,4,0
challenge-java,com.halconbit.challenge.java.backtracking.powerSets.Unique,PowerSetsUnique,55,0,2,0,10,0,4,0,3,0
challenge-java,com.halconbit.challenge.java,index,847,0,28,0,144,0,16,0,2,0
challenge-java,com.halconbit.challenge.java.backtracking.stringPermutation.Duplicates,Duplicates,76,0,6,0,17,0,6,0,3,0
